molecule,Patient,Sample,Depth,Treat,hydroxyphenazine,pyocyanin,Phenazine-1-carboxylic acid,PCN,Pyochelin,NHQ,quinolone286a,quinolone286b,C9:db NHQ,HHQ,db HQNO,C11:db UHQa,C11:db UHQb,quinolone300,quinolone268,quinolone216,db HHQ,quinolone,quinolone202,quinolone282,quinolone312a,quinolone312b,quinolone328,quinolone354,quinolone370,HQNO,PQS,HQNO246a,HQNO246b,HQNO232,NQNO,C9 PQS,quinolone200,HQNO218,HQNO344,PQS302,PQS342,Rha668,RhaC10C10,RhaC10C10b,Rha682,Rha694,Rha696,Rha665,Rha724,Rha679,Rha696,Ampicillin,Rha522Na,Rha527Na,Rha673Na
34_NT1_GA1_01_31949.mzML,34,NT1,1,NT,4.176438556,5.389959498,5.236144102,4.045166448,5.82534821,6.913380613,5.471567459,5.62341057,5.357774814,3.708250889,6.358907491,6.698259961,5.958424351,6.73804671,5.54362608,5.482907869,6.196428229,6.220243065,5.509439101,5.395466184,4.420351882,5.813500927,5.846423715,2.781036939,2.982271233,6.809274131,7.156785193,5.018866863,3.318897715,5.241277453,6.260216447,5.914319881,5.300465046,5.329942694,5.297690493,4.178861887,2.301029996,5.818151965,5.37741554,4.035989757,4.728548562,5.146425736,5.794736144,4.263588731,4.886332771,5.341434525,5.667733053,6.27686512,5.778894705,3.484584529,5.471948525
34_NT2_GA2_01_31950.mzML,34,NT2,2,NT,4.06595298,5.33726753,5.497399649,3.637889817,5.770828456,6.853960899,4.971368637,5.146847128,5.092229242,4.668758542,6.108420235,6.278605458,4.990800436,5.898007345,5.101485869,5.526623544,5.923217069,5.76742601,5.619247812,5.220756429,3.626134979,5.094051656,4.691470502,2.301029996,3.579783597,6.802589846,5.699497786,5.10561917,3.649334859,5.377175068,5.922490865,4.387033701,5.417451763,5.550404482,4.542427037,3.672097858,2.859738566,5.5867088,5.160060156,3.661623409,4.289321338,4.660979252,5.065056603,3.896966902,3.683767261,4.544068044,4.23724204,6.15879657,5.337139663,4.632254777,5.260500698
34_NT3_GA3_01_31951.mzML,34,NT3,3,NT,4.095239112,4.537466481,4.897934837,2.301029996,5.209300495,6.372125881,4.083359265,4.037267095,4.532193637,4.53473665,5.360009924,5.248894857,3.693023068,4.267922292,4.269606331,4.981329241,5.305230954,4.916453949,4.921166051,5.150989638,3.125806458,3.884001925,2.866877814,2.401400541,3.025305865,6.306332368,5.099542529,4.504606771,2.579783597,4.733454073,5.052617001,3.98623413,4.835436895,4.96653594,3.728516105,2.766412847,3.076276255,4.757213769,4.303714309,2.309630167,3.360971884,3.713322505,3.401400541,3.129689892,2.301029996,3.389520466,3.566790912,6.283086743,4.271283865,3.555819683,4.546295835
34_NT4_GA4_01_31952.mzML,34,NT4,4,NT,4.04406915,4.46757851,5.032183443,2.996511672,5.302607957,6.276729192,4.411148123,3.471291711,4.513909788,4.016364679,5.457088244,4.996336518,3.566319622,4.156912426,4.30988556,5.11023944,5.462176301,4.856487213,5.151026447,5.370342817,3.166726056,3.352568386,3.604226053,2.79518459,2.871572936,6.529746463,5.238978959,4.702051225,3.230448921,4.983824673,5.376518561,4.055531225,5.023614564,5.087965883,3.817697555,3.011993115,2.556302501,4.598746747,4.14088498,2.556302501,2.365487985,3.317227349,3.380934463,3.194236749,2.719331287,3.028571253,3.155943018,6.293492492,3.99175754,3.534026106,4.319647288
34_NT5_GA5_01_31953.mzML,34,NT5,5,NT,3.929214504,4.255272505,4.974253711,2.907411361,5.22727981,5.966656008,4.465739659,3.658202253,4.491473755,3.481155871,5.364310801,4.369809359,3.69019608,4.008600172,4.16708092,5.120758138,5.439869308,4.654215059,5.134381133,5.449836178,3.093421685,3.567731963,3.452706227,3.261024834,3.338456494,6.528973232,5.213687723,4.676949539,3.15715444,4.953276337,5.335642412,4.106938451,5.035237565,5.067829371,4.178631675,3.109915863,2.465382851,4.273232834,3.69653112,2.883093359,2.748188027,3.254306332,3.397940009,3,2.565847819,3.303627976,3.490800952,6.262687396,3.891648944,3.093421685,4.036469199
34_NT6_GA6_01_31954.mzML,34,NT6,6,NT,3.955399087,3.689486448,4.744292983,2.301029996,4.929459799,5.467270601,4.094261443,2.819543936,4.153997687,3.0523091,5.048457342,4.230142252,3.003460532,3.630631244,3.867820908,4.827756863,5.169838953,4.156791368,4.959213167,5.348655273,3.170261715,3.076276255,3.225309282,2.301029996,3.590618948,6.226300822,4.927637223,4.433161556,2.88536122,4.670728135,4.816214777,3.722304787,4.806776719,4.83426807,3.795741021,3.020361283,2.588831726,3.920749261,3.29136885,2.894316063,2.51054501,2.602059991,3.344785123,2.829946696,2.301029996,3.245512668,2.561101384,6.282252227,3.698970004,2.62324929,3.636287252
34_NT7_GA7_01_31955.mzML,34,NT7,7,NT,3.73239376,2.301029996,4.493820393,2.725911632,4.615739689,4.994633848,3.638289535,2.505149978,3.993524403,3.837335868,4.698900512,3.839854985,2.301029996,3.50242712,3.456973014,4.668572269,4.976313289,3.74694541,4.592576435,5.316356214,2.974971994,2.934498451,2.401400541,2.301029996,3.301897717,5.894697011,4.617629298,4.1966735,2.950364854,4.39213394,4.08849047,3.48515335,4.546542663,4.53892545,3.933892036,2.357934847,2.712649702,3.526339277,2.942504106,2.631443769,2.814247596,2.561101384,3.195346058,2.903089987,2.684845362,2.635483747,3.101747074,6.311583499,3.606811147,2.864511081,3.294906911
34_NT8_GA8_01_31956.mzML,34,NT8,8,NT,4.011147361,2.471291711,4.536810866,2.365487985,4.688989015,5.030097544,4.003805074,3.206286044,3.920749261,3.872738827,4.721084811,3.902655475,2.681241237,3.860697274,3.142389466,4.718601324,5.050023822,3.865222456,4.775741481,5.484789391,2.814247596,3.36398783,3.28057837,2.614897216,3.346352974,6.149259768,4.740552158,4.338775125,3.172602931,4.619594151,4.290924559,3.526339277,4.703050514,4.689344383,2.301029996,2.819543936,2.579783597,3.516403148,3.545059585,2.978636948,3.451479405,2.86923172,2.561101384,2.651278014,2.301029996,3.212720154,2.301029996,6.247169692,3.378034322,2.610660163,3.34321159
34_NT9_GA9_01_31957.mzML,34,NT9,9,NT,3.805364907,2.301029996,4.447530124,2.301029996,4.540879816,4.88422877,3.374381698,2.926342447,3.479431337,3.659726095,4.40524388,3.742882171,2.51054501,3.071882007,3.151063253,4.618173658,4.840783367,3.575187845,4.64246452,5.441330584,2.301029996,2.738780558,2.873901598,2.95230801,3.205204364,5.830868272,4.419691459,4.214419939,2.301029996,4.424946939,3.972202838,3.511616021,4.593817531,4.618926262,3.635885685,2.84509804,2.301029996,3.5289167,3.055378331,3.089198367,3.31386722,3.265760917,3.414304688,2.575187845,2.301029996,2.991226076,3.240549248,6.252559844,3.576571684,3.337658891,3.265760917
34_NT10_GA10_01_31958.mzML,34,NT10,10,NT,3.984077034,2.301029996,4.243732365,2.903089987,4.264723401,4.696181587,2.757396029,2.447158031,3.530967682,2.499687083,4.181042834,3.654753933,2.915927212,3.357172258,2.301029996,4.393680474,4.644674876,3.146128036,4.588249291,5.456900221,2.515873844,2.434568904,2.408239965,2.575187845,3.307923704,5.704057812,4.411821656,3.812646016,2.301029996,4.351796307,3.239549721,3.108565024,4.495655325,4.284566077,4.273232834,3.006893708,3.207365037,3.354876423,3.119255889,2.783903579,2.741939078,3.041392685,2.930439595,2.806179974,2.301029996,2.918030337,3.149834697,6.297497886,3.301029996,3.400019635,3.194236749
49_NT1_BF1_01_32122.mzML,49,NT1,1,NT,3.50623436,3.66539335,3.925312091,2.301029996,4.582654147,5.803771114,3.915505362,4.019697731,3.697229343,5.338822899,4.288517502,4.910795101,4.421932813,4.531989551,3.925930598,3.691965103,4.281397022,3.823474229,4.139249218,4.943276819,3.101747074,3.226342087,4.108023509,3.379486814,3.555336328,4.833555068,2.950364854,3.383815366,2.681241237,3.766115283,3.475961589,2.515873844,3.100370545,3.700357528,3.936915681,3.061452479,3.431363764,3.412964272,2.77524626,3.031812271,2.985875357,2.922206277,3.347134783,2.301029996,3.128399269,2.816903839,2.854913022,6.382063173,3.571475904,3.372175286,2.864511081
